c [mM],best Homo,best Hetero,MC 98% Homo lo,MC 98% Homo hi,MC 98% Hetero lo,MC 98% Hetero hi
1.0,8.798670717062425,9.081521184970994,8.476170022210207,9.121171411914643,8.715889516539812,9.447152853402175
1.0471285480508996,8.759873915821977,9.044037910193763,8.438698322081933,9.081049509562021,8.678983360260656,9.409092460126871
1.096478196143185,8.719552990383015,9.005083168086966,8.399735751100003,9.039370229666027,8.6405710483136,9.369595287860331
1.1481536214968828,8.6776625007939,8.96461316946243,8.360102644515738,8.995222357072063,8.600461396648083,9.328764942276777
1.202264434617413,8.634156262406517,8.922583387581337,8.317491065869175,8.950821458943858,8.559040908990934,9.28612586617174
1.2589254117941673,8.588987975600157,8.87894918283715,8.273271024552212,8.904704926648101,8.51716062305677,9.240737742617531
1.318256738556407,8.542112154053898,8.833666725438544,8.22740251988452,8.856821788223275,8.472749861575892,9.194583589301196
1.3803842646028848,8.493482338155832,8.786691202652749,8.180637911679232,8.806326764632432,8.4281806311609,9.145201774144597
1.4454397707459274,8.443054589893,8.737980306926548,8.132264049847867,8.753845129938133,8.380631258929252,9.095329354923845
1.5135612484362082,8.390783104395693,8.687489840034477,8.081659516514636,8.69990669227675,8.330958112324486,9.044021567744467
1.5848931924611136,8.336625638685483,8.635179133782259,8.026911745722268,8.646339531648698,8.279521624597734,8.990836642966784
1.6595869074375607,8.280536256275841,8.581003785896767,7.973410502139445,8.587662010412238,8.226550517911825,8.93545705388171
1.7378008287493754,8.222475285937524,8.524925609401636,7.9178115634746105,8.527139008400436,8.17237428966878,8.877476929134493
1.8197008586099834,8.1624031064334,8.466906407275681,7.858471472842613,8.466334740024188,8.115919397962402,8.81789341658896
1.9054607179632472,8.100279590941657,8.406907406111804,7.797135351432951,8.403423830450363,8.05738483215156,8.756429980072047
1.9952623149688795,8.036068921977845,8.344894059593297,7.73383616964786,8.33830167430783,7.994253905616203,8.695534213570392
