c [mM],best Homo,best Hetero,MC 75% Homo lo,MC 75% Homo hi,MC 75% Hetero lo,MC 75% Hetero hi
1.0,8.82133326829859,9.164577607475037,8.730331921082957,8.912334615514222,9.066453163388328,9.262702051561746
1.0471285480508996,8.768324960902731,9.113564891761108,8.676820344798761,8.859829577006701,9.014635761112492,9.212494022409723
1.096478196143185,8.713359696252835,9.060670302105,8.620813231966915,8.805906160538756,8.960495268994404,9.160845335215598
1.1481536214968828,8.65638846064398,9.005846713726001,8.56313064460753,8.74964627668043,8.904516566834092,9.10717686061791
1.202264434617413,8.597364479405753,8.949049198113363,8.502556003686365,8.692172955125141,8.847445207752301,9.050653188474424
1.2589254117941673,8.536242756941132,8.890234552311076,8.439636121986371,8.632849391895892,8.786555458339555,8.993913646282598
1.318256738556407,8.472977756480791,8.829358967102964,8.374540061852734,8.571415451108848,8.725391314053631,8.933326620152297
1.3803842646028848,8.40752632754763,8.766380942087318,8.307510958281906,8.507541696813355,8.661273801231888,8.871488082942749
1.4454397707459274,8.339845628512652,8.701259195024928,8.237502640731323,8.442188616293981,8.595194109490865,8.80732428055899
1.5135612484362082,8.269899134360307,8.633958655590947,8.165519336227387,8.374278932493226,8.526409464171596,8.741507847010297
1.5848931924611136,8.197652310569604,8.564446124460009,8.09075159270787,8.304553028431338,8.454994936168715,8.673897312751302
1.6595869074375607,8.123071599913605,8.492689244562786,8.014163996365113,8.231979203462096,8.381870775366469,8.603507713759104
1.7378008287493754,8.04612679587865,8.41865885826431,7.934336424371395,8.157917167385904,8.306033090036589,8.531284626492031
1.8197008586099834,7.96679035834008,8.342328306164964,7.852773804013463,8.080806912666697,8.227303383888184,8.457353228441743
1.9054607179632472,7.885039200016127,8.263675196126083,7.769033026222124,8.001045373810129,8.14672971362487,8.380620678627297
1.9952623149688795,7.800854591872958,8.182681290790919,7.682258107480321,7.919451076265595,8.063445400667149,8.301917180914689
2.0892961308540396,7.714220640871744,8.09933096710799,7.592339263769897,7.836102017973591,7.97743606487343,8.22122586934255
2.1877616239495525,7.625126218889348,8.013613126823886,7.501640696259608,7.748611741519088,7.889140317861978,8.138085935785794
2.290867652767773,7.533568324866241,7.925524540154443,7.408728237423805,7.6584084123086775,7.79962568082227,8.051423399486616
2.3988329190194904,7.439546832281839,7.835064574909846,7.3109898755934015,7.5681037889702765,7.7062536753996564,7.9638754744200355
2.51188643150958,7.343065343021268,7.742236032332955,7.212376214025864,7.4737544720166715,7.611672218664908,7.872799846001002
2.6302679918953817,7.244138840157939,7.647052782390023,7.1107494607886474,7.377528219527231,7.5144126870252945,7.779692877754752
2.7542287033381663,7.142784584834246,7.549530643929021,7.00676769882503,7.278801470843462,7.414562253634682,7.68449903422336
2.884031503126606,7.039025015341505,7.449690268056483,6.900131952696647,7.177918077986362,7.311648167162021,7.587732368950945
3.019951720402016,6.932896069143381,7.347565445741303,6.791341048335219,7.074451089951544,7.207922608934806,7.4872082825478
3.1622776601683795,6.824436844048062,7.243192756126552,6.681135133557297,6.967738554538827,7.102287992749153,7.3840975195039515
3.311311214825911,6.713695982815524,7.136617940119784,6.568467898239304,6.858924067391743,6.993991332271249,7.279244547968319
3.4673685045253166,6.600731354936333,7.0278955732863295,6.453135476594843,6.7483272332778235,6.88318389487149,7.172607251701169
3.630780547701014,6.485604250737821,6.917083253488854,6.336582696766984,6.634625804708659,6.769921578092828,7.06424492888488
3.8018939632056115,6.368387761115658,6.804249976852606,6.2175214310290245,6.519254091202291,6.655621428580325,6.952878525124888
3.9810717055349722,6.2491657671807825,6.6894751266158385,6.0960057060888655,6.4023258282727,6.538728304527739,6.840221948703938
4.168693834703354,6.128025213532712,6.572840748827792,5.972053392867509,6.283997034197914,6.420665961397839,6.725015536257745
4.36515832240166,6.005058345340487,6.454433795302127,5.84763574597401,6.162480944706964,6.300767644118071,6.608099946486183
4.570881896148751,5.880365564529343,6.33434898931906,5.721344524415155,6.03938660464353,6.178800433439044,6.489897545199076
4.786300923226384,5.754076881255447,6.212710290415492,5.592568597713657,5.915585164797236,6.0551736340345315,6.370246946796453
5.011872336272724,5.62638359390772,6.089702591614357,5.463575597205366,5.789191590610074,5.931121486354234,6.248283696874479
5.248074602497725,5.497415746663767,5.965449198181594,5.33389637605083,5.660935117276705,5.805691732821831,6.125206663541357
5.495408738576245,5.367314667330891,5.840084390646792,5.202658562131328,5.531970772530455,5.679944366539389,6.000224414754196
5.7543993733715695,5.236188210943468,5.713708697502849,5.070800294416764,5.401576127470173,5.553289122360278,5.87412827264542
6.025595860743578,5.104158747019115,5.586436915366647,4.937707345066557,5.270610148971673,5.42579252938601,5.747081301347285
6.309573444801933,4.971366617398549,5.458401603338437,4.804356450697391,5.138376784099707,5.297932273200869,5.618870933476005
6.606934480075961,4.837951298414258,5.329734285050002,4.670525483901624,5.005377112926892,5.169499683779615,5.489968886320388
6.918309709189364,4.704050635771438,5.20056472646316,4.536449890734776,4.8716513808081,5.040752513269582,5.360376939656738
7.244359600749901,4.569824912345768,5.0710450492366475,4.401999043563414,4.7376507811281225,4.911756887714634,5.230333210758661
7.5857757502918375,4.435438321742824,4.9413312520590775,4.267817080180621,4.603059563305027,4.782701414193909,5.099961089924246
7.943282347242816,4.301042367294928,4.811566659122159,4.133704100187435,4.46838063440242,4.653888184268832,4.969245133975485
8.31763771102671,4.16678886299609,4.68189497168592,4.000119437465296,4.333458288526884,4.524998889818591,4.838791053553249
8.709635899560807,4.032842404377926,4.552472790151839,3.8670154581377814,4.198669350618071,4.396658763426991,4.7082868168766865
9.120108393559097,3.899356158934929,4.423445455637386,3.7346082489176577,4.0641040689522,4.268535491054806,4.578355420219966
9.549925860214358,3.7664861610346443,4.294961395356296,3.603306975488825,3.9296653465804634,4.141890288442612,4.44803250226998
