c [mM],best recog (Mg),best recog (Ca),MC 90% recog lo (Mg),MC 90% recog hi (Mg),MC 90% recog lo (Ca),MC 90% recog hi (Ca)
29.591836734693878,-0.4998717438872595,-0.6011086633944551,-0.6259472569969753,-0.3737962307775437,-0.6865091954208398,-0.5157081313680705
34.48979591836735,-0.5054891785746047,-0.6072262753202493,-0.6406207937216969,-0.3703575634275126,-0.6956503739170291,-0.5188021767234695
39.38775510204081,-0.5101795311309067,-0.6124947078028558,-0.6523016585616012,-0.36805740370021234,-0.7025793961928102,-0.5224100194129013
44.285714285714285,-0.514341079717169,-0.6170691867049252,-0.661894098527523,-0.3667880609068151,-0.7082328549539847,-0.5259055184558656
49.183673469387756,-0.5180521314597892,-0.6210720789022761,-0.6698461376102363,-0.3662581253093422,-0.7130799934257226,-0.5290641643788296
54.08163265306123,-0.5213776482703618,-0.6246002429722282,-0.6763449372476888,-0.36641035929303484,-0.7173486560600272,-0.5318518298844291
58.9795918367347,-0.5243716559552662,-0.6277308234662042,-0.681817179884757,-0.3669261320257755,-0.7211426051443421,-0.5343190417880663
63.87755102040816,-0.5270792052056568,-0.6305257237572466,-0.6865332533289878,-0.3676251570823256,-0.7244704758802629,-0.5365809716342302
68.77551020408163,-0.5295379910858387,-0.6330350178148643,-0.6906326738760793,-0.368443308295598,-0.7272912259261018,-0.5387788097036267
73.6734693877551,-0.5317796825863703,-0.635299542346973,-0.6942276348203129,-0.3693317303524277,-0.7298081422351343,-0.5407909424588115
78.57142857142857,-0.5338310060115745,-0.6373528686440997,-0.6974134661367823,-0.3702485458863667,-0.732065863773929,-0.5426398735142703
83.46938775510205,-0.5357146234677534,-0.6392228090781247,-0.7003515151390785,-0.3710777317964285,-0.7341060913998497,-0.5443395267563996
88.36734693877551,-0.5374498437371322,-0.640932575115956,-0.7029856431578454,-0.37191404431641906,-0.7359773505720084,-0.5458877996599036
93.26530612244898,-0.5390531976218096,-0.642501673745806,-0.7053602404814205,-0.37274615476219863,-0.7377151622313285,-0.5472881852602836
98.16326530612245,-0.5405389044290341,-0.6439466066075301,-0.7075115174531776,-0.37356629140489045,-0.7393077015703873,-0.548585511644673
103.06122448979592,-0.5419192512851563,-0.6452814194021199,-0.7094746171473995,-0.3743638854229131,-0.7407724187097187,-0.5497904200945212
107.9591836734694,-0.5432049026791623,-0.6465181369008048,-0.7112901684769901,-0.3751196368813345,-0.7421633220926313,-0.5508729517089784
112.85714285714286,-0.5444051540932269,-0.6476671099098086,-0.7129760020835327,-0.375834306102921,-0.7434633253154339,-0.5518708945041833
117.75510204081633,-0.5455281407166344,-0.648737293978602,-0.7145455356582893,-0.37651074577497945,-0.74467133143479,-0.552803256522414
122.6530612244898,-0.5465810099608377,-0.6497364748078263,-0.7160103980996253,-0.3771516218220501,-0.7457701746373948,-0.5537027749782577
127.55102040816327,-0.5475700646930033,-0.6506714517401426,-0.7173807180854439,-0.3777594113005626,-0.7467707370317229,-0.5545721664485623
132.44897959183675,-0.5485008826879594,-0.6515481880588303,-0.7186653584901381,-0.37833640688578063,-0.747706520510083,-0.5553898556075776
137.3469387755102,-0.5493784166842306,-0.6523719348282033,-0.7198721081559311,-0.37888472521253014,-0.7485836108530162,-0.5561602588033905
142.24489795918367,-0.550207078553079,-0.6531473335089242,-0.7210078398111829,-0.3794063172949752,-0.7494073555744594,-0.556887311443389
147.14285714285714,-0.5509908103987238,-0.6538785014420201,-0.7220786409132072,-0.3799029798842404,-0.7502036308773997,-0.5575533720066405
152.0408163265306,-0.5517331448620078,-0.6545691034248002,-0.7230899226840196,-0.3803763670399959,-0.7509872411317899,-0.5581509657178105
156.9387755102041,-0.5524372564672162,-0.6552224119322454,-0.7240465114665418,-0.38082800146789064,-0.7517276653615225,-0.5587171585029683
161.83673469387756,-0.5531060055075998,-0.6558413580189599,-0.7249527256588805,-0.38125928535631914,-0.7524283735983266,-0.5592543424395933
166.73469387755102,-0.5537419756904973,-0.6564285745330052,-0.7258124408154513,-0.3816715105655434,-0.75309247424435,-0.5597646748216604
171.6326530612245,-0.5543475065427517,-0.6569864329563857,-0.7266291449857656,-0.38206586809973775,-0.7537227599322474,-0.560250105980524
176.53061224489795,-0.554924721399984,-0.657517074937501,-0.7274059859573584,-0.3824434568426095,-0.7543217465865084,-0.5607124032884936
181.42857142857144,-0.5554755516601739,-0.6580224393831151,-0.7281458117519671,-0.3828052915683807,-0.7548891328470566,-0.5611557459191736
186.3265306122449,-0.5560017578658827,-0.6585042858197712,-0.7288512054729879,-0.3831523102587775,-0.75542850094533,-0.5615800706942123
191.22448979591837,-0.5565049480850335,-0.6589642146082939,-0.7295245154025893,-0.3834853807674776,-0.7559429148005065,-0.5619855144160814
196.12244897959184,-0.5569865939828182,-0.6594036844933986,-0.7301678810872397,-0.38380530687839676,-0.7564340656203099,-0.5623733033664873
201.0204081632653,-0.5574480449139814,-0.6598240278880949,-0.7307832560218648,-0.38411283380609795,-0.756903495288102,-0.5627445604880879
205.9183673469388,-0.5578905403124974,-0.6602264642258087,-0.7313724274390744,-0.38440865318592043,-0.7573526124747828,-0.5631003159768345
210.81632653061226,-0.5583152206125463,-0.6606121116584971,-0.7319370336254726,-0.3846934075996201,-0.7577659462194237,-0.5634582770975705
215.71428571428572,-0.5587231368988701,-0.6609819973343214,-0.7324785791182162,-0.38496769467952396,-0.7581511080839028,-0.5638128865847399
220.6122448979592,-0.5591152594548494,-0.6613370664515932,-0.7329984480784656,-0.38523207083123323,-0.7585205072634581,-0.5641536256397283
225.51020408163265,-0.5594924853517371,-0.6616781902552731,-0.7334979160918932,-0.38548705461158106,-0.7588750914723175,-0.5644812890382287
230.40816326530611,-0.5598556452016763,-0.6620061731170019,-0.7339781606079088,-0.3857331297954438,-0.7592157339828113,-0.5647966122511926
235.3061224489796,-0.5602055091795783,-0.6623217588186727,-0.7344402701973332,-0.38597074816182353,-0.759543240790094,-0.5651002768472514
240.20408163265307,-0.5605427924042381,-0.6626256361419136,-0.7348852527816603,-0.38620033202681586,-0.759858356965414,-0.5653929153184132
245.10204081632654,-0.560868159756517,-0.6629184438511273,-0.7353140429647197,-0.3864222765483144,-0.7601617723031064,-0.5656751153991482
250.0,-0.5611822302018838,-0.6632007751453761,-0.7357275085789504,-0.3866369518248173,-0.7604541263511955,-0.5659474239395568
