c [mM],best recog (Mg),best recog (Ca),MC 98% recog lo (Mg),MC 98% recog hi (Mg),MC 98% recog lo (Ca),MC 98% recog hi (Ca)
1.0,-0.2828504679085686,-0.34324433917644726,-0.3299976034927863,-0.2357033323243509,-0.3713659678668344,-0.3151227104860601
1.0471285480508996,-0.2841639943717862,-0.34523993085837645,-0.33162233575683153,-0.23670565298674084,-0.3736706493350446,-0.3168092123817083
1.096478196143185,-0.2855301777039507,-0.3473106058521651,-0.3333147188000309,-0.23774563660787057,-0.3759951169995727,-0.3186260947047575
1.1481536214968828,-0.2869506686685295,-0.3494582530820214,-0.33507713169761677,-0.23882420563944215,-0.3785375930437163,-0.32037891312032646
1.202264434617413,-0.2884271251748203,-0.35168471870760953,-0.3368865973779548,-0.23996765297168576,-0.381136145795891,-0.32223329161932807
1.2589254117941673,-0.2899612072369937,-0.35399179536994474,-0.3388259450218761,-0.24109646945211133,-0.38379208125678477,-0.3241915094831047
1.318256738556407,-0.2915545713846459,-0.3563812106221729,-0.34081689441843427,-0.24229224835085755,-0.3865144467323411,-0.32624797451200466
1.3803842646028848,-0.29320886449691663,-0.3588546145396876,-0.3428862987824645,-0.24353143021136875,-0.389405747128342,-0.3283034819510332
1.4454397707459274,-0.2949257170335482,-0.36141356651227596,-0.34497899358030837,-0.244872440486788,-0.39245504703983886,-0.33037208598471307
1.5135612484362082,-0.296706735638784,-0.3640595212306401,-0.3472198547465831,-0.2461936165309849,-0.39554601083633295,-0.3325730316249473
1.5848931924611136,-0.2985534950967761,-0.3667938138904052,-0.3495562344565987,-0.24755075573695343,-0.3987452440462883,-0.33484238373452213
1.6595869074375607,-0.30046752962092604,-0.3696176446491819,-0.3519835184377619,-0.24895154080409018,-0.4020540862638012,-0.3371812030345626
1.7378008287493754,-0.3024503234641127,-0.3725320623856607,-0.35450432204596066,-0.25039632488226476,-0.4054716875785044,-0.33959243719281706
1.8197008586099834,-0.3045033008422813,-0.3755379478248839,-0.35712125039007164,-0.2518853512944909,-0.40900666723800766,-0.3420692284117602
1.9054607179632472,-0.30662781517014714,-0.37863599610995635,-0.35983084423929923,-0.25342478610099506,-0.4127184177855036,-0.3445535744344091
1.9952623149688795,-0.30882513761545205,-0.38182669891796106,-0.3626335909469015,-0.2550166842840026,-0.41663610317918215,-0.34701729465673997
2.0892961308540396,-0.31109644498662625,-0.3851103262362461,-0.36553933211432454,-0.25665355785892796,-0.420641190370593,-0.34957946210189916
2.1877616239495525,-0.3134428069784949,-0.38848690793453766,-0.36855048436627813,-0.2583351295907117,-0.42473493086179215,-0.3522388850072832
2.290867652767773,-0.31586517281144744,-0.3919562152882019,-0.3716693963855295,-0.2600609492373654,-0.42893132618158164,-0.35498110439482217
2.3988329190194904,-0.31836435731155,-0.395517742628007,-0.3748983353485738,-0.2618303792745262,-0.4331121245587062,-0.3579233606973078
2.51188643150958,-0.3209410264920294,-0.39917068931168753,-0.37823947258257246,-0.2636425804014863,-0.43741110950915285,-0.3609302691142222
2.6302679918953817,-0.32359568271080796,-0.4029139422320842,-0.3816948684755225,-0.26549649694609345,-0.44183010167074777,-0.36399778279342065
2.7542287033381663,-0.32632864949359774,-0.40674605909477535,-0.3852664566837219,-0.2673908423034736,-0.44636884772903995,-0.36712327046051074
2.884031503126606,-0.32914005612807706,-0.41066525271497856,-0.3889560276935442,-0.2693240845626099,-0.45119136380910824,-0.3701391416208489
3.019951720402016,-0.3320298221508562,-0.4146693765979217,-0.39276521180871554,-0.27129443249299684,-0.45614068953153025,-0.37319806366431313
3.1622776601683795,-0.3349976418658116,-0.41875591207849006,-0.3966954616488306,-0.2732998220827926,-0.4610849157010355,-0.3764269084559446
3.311311214825911,-0.3380429690490274,-0.4229219573042604,-0.4007480342604752,-0.2753379038375796,-0.466113821201192,-0.37973009340732883
3.4673685045253166,-0.34116500201215505,-0.4271642183499962,-0.4049239729580739,-0.2774060310662362,-0.4712484043030805,-0.38308003239691185
3.630780547701014,-0.3443626692117858,-0.4314790027510327,-0.40922408902765606,-0.2795012493959156,-0.47649521682349677,-0.3864627886785686
