c [mM],best Homo,best Hetero,MC 98% Homo lo,MC 98% Homo hi,MC 98% Hetero lo,MC 98% Hetero hi
1.0,8.82133326829859,9.164577607475037,8.645371186681906,8.997295349915273,8.979470888102272,9.349684326847802
1.0471285480508996,8.768324960902731,9.113564891761108,8.59023204684809,8.946417874957373,8.926387537468003,9.300742246054213
1.096478196143185,8.713359696252835,9.060670302105,8.533063619761883,8.893655772743788,8.869641687174745,9.251698917035256
1.1481536214968828,8.65638846064398,9.005846713726001,8.473916481235156,8.838860440052803,8.810004455592392,9.20168897185961
1.202264434617413,8.597364479405753,8.949049198113363,8.41243265643105,8.782296302380455,8.751645246646977,9.146453149579749
1.2589254117941673,8.536242756941132,8.890234552311076,8.346587509908671,8.725898003973592,8.6892837093318,9.091185395290353
1.318256738556407,8.472977756480791,8.829358967102964,8.278517874503054,8.667437638458528,8.62694303468304,9.031774899522889
1.3803842646028848,8.40752632754763,8.766380942087318,8.209247462869365,8.605805192225896,8.561653376016338,8.971108508158299
1.4454397707459274,8.339845628512652,8.701259195024928,8.136366241621806,8.543325015403498,8.493607911644377,8.90891047840548
1.5135612484362082,8.269899134360307,8.633958655590947,8.061635678038193,8.47816259068242,8.424125509553782,8.843791801628111
1.5848931924611136,8.197652310569604,8.564446124460009,7.984729048666369,8.410575572472837,8.350293118208771,8.778599130711246
1.6595869074375607,8.123071599913605,8.492689244562786,7.903664222536697,8.342478977290511,8.273669924196223,8.71170856492935
1.7378008287493754,8.04612679587865,8.41865885826431,7.822702848748495,8.269550743008804,8.19476260500243,8.64255511152619
1.8197008586099834,7.96679035834008,8.342328306164964,7.739424002724345,8.194156713955815,8.11395999465406,8.570696617675868
1.9054607179632472,7.885039200016127,8.263675196126083,7.653233861911737,8.116844538120517,8.030333845056454,8.497016547195713
1.9952623149688795,7.800854591872958,8.182681290790919,7.5648167314568635,8.036892452289052,7.944370186749868,8.42099239483197
2.0892961308540396,7.714220640871744,8.09933096710799,7.474542291134819,7.9538989906086695,7.856060690590285,8.342601243625696
2.1877616239495525,7.625126218889348,8.013613126823886,7.381564751161482,7.868687686617214,7.765399597881871,8.261826655765901
2.290867652767773,7.533568324866241,7.925524540154443,7.284439120594846,7.782697529137637,7.671397785015805,8.179651295293082
2.3988329190194904,7.439546832281839,7.835064574909846,7.184151764243141,7.694941900320537,7.576492364139246,8.093636785680445
2.51188643150958,7.343065343021268,7.742236032332955,7.081504999601032,7.604625686441503,7.479530779347693,8.004941285318218
2.6302679918953817,7.244138840157939,7.647052782390023,6.977338647920761,7.510939032395117,7.380155932776816,7.913949632003231
2.7542287033381663,7.142784584834246,7.549530643929021,6.87170627301596,7.413862896652532,7.278913409806347,7.820147878051695
2.884031503126606,7.039025015341505,7.449690268056483,6.762697683632502,7.315352347050507,7.175566534975325,7.723814001137641
3.019951720402016,6.932896069143381,7.347565445741303,6.653292080541142,7.21250005774562,7.0697494762296715,7.625381415252934
3.1622776601683795,6.824436844048062,7.243192756126552,6.538775780337369,7.110097907758755,6.962040978067901,7.524344534185203
3.311311214825911,6.713695982815524,7.136617940119784,6.423792902402629,7.003599063228418,6.852117552666641,7.421118327572927
3.4673685045253166,6.600731354936333,7.0278955732863295,6.307113795439188,6.894348914433479,6.740072810260823,7.315718336311836
3.630780547701014,6.485604250737821,6.917083253488854,6.185816272964248,6.785392228511395,6.625561077165769,7.208605429811938
3.8018939632056115,6.368387761115658,6.804249976852606,6.064344754994375,6.672430767236941,6.507689133248257,7.100810820456956
3.9810717055349722,6.2491657671807825,6.6894751266158385,5.9418606492935035,6.5564708850680615,6.3895723697301525,6.989377883501525
4.168693834703354,6.128025213532712,6.572840748827792,5.817045117640581,6.439005309424842,6.2693923277737955,6.8762891698817885
4.36515832240166,6.005058345340487,6.454433795302127,5.6901692754385085,6.319947415242465,6.147193429810255,6.761674160794
4.570881896148751,5.880365564529343,6.33434898931906,5.560748727323435,6.199982401735251,6.024135142019933,6.644562836618187
