c [mM],best Homo,best Hetero,MC 95% Homo lo,MC 95% Homo hi,MC 95% Hetero lo,MC 95% Hetero hi
1.0,8.798670717062425,9.081521184970994,8.524434429807775,9.072907004317075,8.768701474090571,9.394340895851416
1.0471285480508996,8.759873915821977,9.044037910193763,8.486017502957104,9.03373032868685,8.732513075235556,9.355562745151971
1.096478196143185,8.719552990383015,9.005083168086966,8.447105588696823,8.992000392069206,8.695120629090162,9.315045707083769
1.1481536214968828,8.6776625007939,8.96461316946243,8.408121861169455,8.947203140418345,8.655529607264892,9.273696731659967
1.202264434617413,8.634156262406517,8.922583387581337,8.364866626575765,8.903445898237269,8.614137141721468,9.231029633441207
1.2589254117941673,8.588987975600157,8.87894918283715,8.321562479293135,8.856413471907178,8.570754439858302,9.187143925815999
1.318256738556407,8.542112154053898,8.833666725438544,8.278131984033434,8.806092324074362,8.526183628135565,9.141149822741523
1.3803842646028848,8.493482338155832,8.786691202652749,8.231809921465867,8.755154754845798,8.481383243507695,9.091999161797803
1.4454397707459274,8.443054589893,8.737980306926548,8.18288171421356,8.703227465572441,8.434552506449355,9.041408107403742
1.5135612484362082,8.390783104395693,8.687489840034477,8.130448319572883,8.651117889218503,8.385355005307497,8.989624674761457
1.5848931924611136,8.336625638685483,8.635179133782259,8.075731510684395,8.59751976668657,8.334952626800792,8.935405640763726
1.6595869074375607,8.280536256275841,8.581003785896767,8.01922493798278,8.541847574568902,8.283958696325975,8.87804887546756
1.7378008287493754,8.222475285937524,8.524925609401636,7.961120356576457,8.48383021529859,8.229613721762329,8.820237497040944
1.8197008586099834,8.1624031064334,8.466906407275681,7.90196836880553,8.42283784406127,8.173321150835926,8.760491663715436
1.9054607179632472,8.100279590941657,8.406907406111804,7.840086547774275,8.360472634109039,8.112853808377638,8.70096100384597
1.9952623149688795,8.036068921977845,8.344894059593297,7.778281065559867,8.293856778395824,8.04997229401055,8.639815825176045
2.0892961308540396,7.9697361405231675,8.280832585509794,7.713874347077029,8.225597933969306,7.985699041418275,8.575966129601312
2.1877616239495525,7.9012507774061405,8.214693584384635,7.645911790622998,8.156589764189283,7.918790248715606,8.510596920053665
2.290867652767773,7.830583215060576,8.146448387872024,7.577612605909355,8.083553824211798,7.851114252953027,8.44178252279102
2.3988329190194904,7.757709950346104,8.076074307657654,7.506996955596572,8.008422945095637,7.780525735645963,8.371622879669346
2.51188643150958,7.682610747431948,8.003551773923977,7.432883466283581,7.932338028580315,7.709329396092403,8.297774151755553
2.6302679918953817,7.60526505892322,7.928860741634028,7.357903420636816,7.852626697209624,7.637482719959821,8.220238763308236
2.7542287033381663,7.525659354028457,7.851988003522055,7.2792003505410285,7.772118357515886,7.562101377493138,8.141874629550973
2.884031503126606,7.443782304853995,7.772922360982072,7.197515236658296,7.690049373049694,7.482959632402941,8.062885089561204
3.019951720402016,7.3596290743131085,7.691658896463965,7.115442679482064,7.603815469144153,7.4044144600207344,7.978903332907195
3.1622776601683795,7.273198495451211,7.608196137317023,7.0296344389706045,7.516762551931818,7.322943367797443,7.893448906836603
3.311311214825911,7.184495708056717,7.522538677105745,6.942182834171753,7.426808581941682,7.238532826531966,7.806544527679524
3.4673685045253166,7.0935302340792665,7.434695236091422,6.852645245787493,7.33441522237104,7.152366684805633,7.71702378737721
3.630780547701014,7.00031931566118,7.344681984872966,6.760649516826086,7.239989114496274,7.064506201788307,7.624857767957625
3.8018939632056115,6.904883644647602,7.252518260254711,6.666463097374993,7.143304191920211,6.973433379437636,7.531603141071787
3.9810717055349722,6.807251475826586,7.158230665807895,6.5705854736564415,7.043917477996731,6.879619494479365,7.436841837136424
4.168693834703354,6.707459802069339,7.061854235522391,6.471952767483139,6.942966836655539,6.78528408666426,7.338424384380523
4.36515832240166,6.605550700779204,6.9634287701921735,6.3721213247196475,6.83898007683876,6.686599326573654,7.2402582138106935
4.570881896148751,6.501576418388373,6.863003913513442,6.270197244462358,6.732955592314387,6.587101154837075,7.138906672189808
4.786300923226384,6.395596062730659,6.760635837965351,6.165916145648397,6.625275979812922,6.4849347067129175,7.036336969217785
5.011872336272724,6.287671200440592,6.656382837862424,6.060127956748142,6.515214444133042,6.382765242403688,6.930000433321159
5.248074602497725,6.177872587349726,6.550312057781018,5.954155755135168,6.401589419564284,6.27887466505591,6.821749450506126
5.495408738576245,6.066285055862401,6.442504380561114,5.844678391831657,6.287891719893144,6.172030892152362,6.712977868969865
5.7543993733715695,5.952996343549988,6.333043259323633,5.732915114390141,6.173077572709835,6.064793957551941,6.601292561095325
6.025595860743578,5.838101200742285,6.222018831459746,5.62100276629497,6.0551996351896,5.955168406841679,6.4888692560778125
6.309573444801933,5.72169896131372,6.109525498938538,5.506130128333852,5.9372677942935885,5.8447430050983415,6.374307992778735
6.606934480075961,5.603898175279072,5.99566657366178,5.389419943455247,5.818376407102897,5.731536287183733,6.2597968601398275
6.918309709189364,5.484869892885726,5.880607577626999,5.272679418449163,5.697060367322289,5.619329922801171,6.141885232452827
7.244359600749901,5.364766021124451,5.764494618850142,5.155588053652351,5.573943988596551,5.50687153379156,6.022117703908724
7.5857757502918375,5.24371932207933,5.6474544124486314,5.035230262999479,5.45220838115918,5.391561176829924,5.903347648067339
7.943282347242816,5.121848583695595,5.529599477391255,4.917646609500255,5.326050557890935,5.275486494036713,5.783712460745797
8.31763771102671,4.999272277364542,5.411041823186595,4.79574584202257,5.202798712706515,5.159692427920273,5.6623912184529175
8.709635899560807,4.876125731858384,5.291910155858968,4.673621676642558,5.07862978707421,5.043527223082374,5.540293088635562
9.120108393559097,4.752536498173826,5.172325277530214,4.55187604492457,4.953196951423082,4.926961188859048,5.41768936620138
9.549925860214358,4.628641096896791,5.052416870923958,4.431182991393441,4.826099202400141,4.810527685007116,5.294306056840799
10.0,4.504584864750564,4.9323233851061765,4.309328054481682,4.699841675019446,4.693060666320532,5.171586103891821
14.89795918367347,3.445992707950391,3.9060223689053615,3.2801899292401395,3.6117954866606428,3.690968821824602,4.121075915986121
19.79591836734694,2.7416489833641275,3.2210828168087815,2.602392020295564,2.880905946432691,3.0213643264381487,3.4208013071794143
24.693877551020407,2.2430844209792484,2.7348234183739826,2.125229173022242,2.360939668936255,2.5459823026725816,2.9236645340753835
29.591836734693878,1.8737703068127152,2.3736420506999747,1.7735360467061667,1.9740045669192636,2.192888022589414,2.5543960788105355
34.48979591836735,1.590443055331912,2.0959322339065167,1.5038523432465898,1.6770337674172342,1.9190416962922576,2.272822771520776
39.38775510204081,1.3669618462383368,1.8771413773692436,1.290171262807301,1.4437524296693727,1.703078923138273,2.051203831600214
44.285714285714285,1.1866428042884873,1.7009838840056564,1.119012669418472,1.2542729391585026,1.525336410962102,1.8766313570492108
49.183673469387756,1.0383846607046499,1.556436792164439,0.9783139404489188,1.098455380960381,1.3825890910340866,1.7302844932947916
54.08163265306123,0.914528128725884,1.4359057769962458,0.8595821144313515,0.9694741430204165,1.2623235007176334,1.609488053274858
58.9795918367347,0.809642535446474,1.3340141914017403,0.7579581720825381,0.8613268988104099,1.1605299643169071,1.5074984184865734
63.87755102040816,0.7197661444370693,1.246845349642726,0.6706531379049863,0.7688791509691524,1.0692977424115473,1.4243929568739049
68.77551020408163,0.6419525829757102,1.1714905740615489,0.5937583015305462,0.6901468644208743,0.991305423589507,1.3516757245335909
73.6734693877551,0.5739679395343047,1.105747622120675,0.5260405547811426,0.6218953242874667,0.9244153548652891,1.2870798893760609
78.57142857142857,0.5140904631042011,1.0479214691157757,0.46719477887485394,0.5609861473335483,0.8654102698717185,1.2304326683598328
83.46938775510205,0.4609754566036699,0.9966900800714233,0.41428014892916143,0.5076707642781784,0.8125280972273454,1.1808520629155013
88.36734693877551,0.4135578797546269,0.9510077234917591,0.3659128925774362,0.46120286693181756,0.7653764302041304,1.1366390167793878
93.26530612244898,0.3709731813597381,0.9100263789815477,0.3222584622290418,0.4196879004904344,0.7234459187126113,1.0966068392504842
98.16326530612245,0.33253039980916466,0.8730693042381987,0.28300697683336,0.3820538227849693,0.6854120262718073,1.0607265822045902
103.06122448979592,0.297661355266154,0.8395806065513103,0.24709111675428552,0.3482315937780225,0.6503610226282471,1.0288001904743733
107.9591836734694,0.2658949906733059,0.8090998933524682,0.21469936138691353,0.3170906199596983,0.6179832782460668,1.0002165084588697
112.85714285714286,0.23683858299852467,0.7812437370917515,0.18445500123847142,0.2892221647585779,0.5889805951322327,0.9735068790512704
117.75510204081633,0.21016532834827295,0.7556934690649073,0.15730533637731114,0.26302532031923476,0.5621453400909006,0.9492415980389141
122.6530612244898,0.1855981202438044,0.7321791302046421,0.1315336939514239,0.2396625465361849,0.5377036609262782,0.926654599483006
127.55102040816327,0.16289806295918163,0.7104681276521849,0.10762963260154496,0.2181664933168183,0.5152390779460914,0.9056971773582785
132.44897959183675,0.1418613146153116,0.690362197303271,0.08577079952343958,0.1979518297071836,0.4945421275196042,0.8861822670869377
137.3469387755102,0.1223137693323002,0.6716921860165308,0.06531040771916273,0.17931713094543766,0.4747366888696238,0.8686476831634378
142.24489795918367,0.10410510697688125,0.6543121855299603,0.046688846905869434,0.16152136704789305,0.4562398425415568,0.8523845285183638
147.14285714285714,0.08710431152107478,0.6380951219197986,0.029132438775418212,0.14507618426673136,0.43969580937995645,0.8364944344596407
152.0408163265306,0.07119698916691242,0.6229301340289202,0.012413075534804863,0.12998090279901997,0.42394591107352697,0.8219143569843134
156.9387755102041,0.05628093578316262,0.6087181922503788,-0.003397960351131199,0.11595983191745644,0.40913864345926265,0.808297741041495
161.83673469387756,0.04226729688920772,0.5953733023968075,-0.01840031355414167,0.10293490733255711,0.3953129558282677,0.7954336489653473
166.73469387755102,0.029077725567726365,0.5828197012582237,-0.032489484212884404,0.09064493534833713,0.382347383788076,0.7832920187283714
171.6326530612245,0.016642427598305698,0.5709899341410574,-0.04533802207470883,0.07862287727132022,0.3701222347327444,0.7718576335493703
176.53061224489795,0.004899224984889816,0.5598239463848738,-0.058364005480100706,0.06816245544988034,0.3585800616360279,0.7610678311337196
